emoji,name,group,sub_group,codepoints,labels
👩🏾‍🤝‍👩🏼,"women holding hands: medium-dark skin tone, medium-light skin tone",People & Body,family,1F469 1F3FE 200D 1F91D 200D 1F469 1F3FC,
👩🏾‍🤝‍👩🏽,"women holding hands: medium-dark skin tone, medium skin tone",People & Body,family,1F469 1F3FE 200D 1F91D 200D 1F469 1F3FD,
👭🏾,women holding hands: medium-dark skin tone,People & Body,family,1F46D 1F3FE,
👩🏿‍🤝‍👩🏻,"women holding hands: dark skin tone, light skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F469 1F3FB,
👩🏿‍🤝‍👩🏼,"women holding hands: dark skin tone, medium-light skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F469 1F3FC,
👩🏿‍🤝‍👩🏽,"women holding hands: dark skin tone, medium skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F469 1F3FD,
👩🏿‍🤝‍👩🏾,"women holding hands: dark skin tone, medium-dark skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F469 1F3FE,
👭🏿,women holding hands: dark skin tone,People & Body,family,1F46D 1F3FF,
👫,woman and man holding hands,People & Body,family,1F46B,
👫🏻,woman and man holding hands: light skin tone,People & Body,family,1F46B 1F3FB,
👩🏻‍🤝‍👨🏼,"woman and man holding hands: light skin tone, medium-light skin tone",People & Body,family,1F469 1F3FB 200D 1F91D 200D 1F468 1F3FC,
👩🏻‍🤝‍👨🏽,"woman and man holding hands: light skin tone, medium skin tone",People & Body,family,1F469 1F3FB 200D 1F91D 200D 1F468 1F3FD,
👩🏻‍🤝‍👨🏾,"woman and man holding hands: light skin tone, medium-dark skin tone",People & Body,family,1F469 1F3FB 200D 1F91D 200D 1F468 1F3FE,
👩🏻‍🤝‍👨🏿,"woman and man holding hands: light skin tone, dark skin tone",People & Body,family,1F469 1F3FB 200D 1F91D 200D 1F468 1F3FF,
👩🏼‍🤝‍👨🏻,"woman and man holding hands: medium-light skin tone, light skin tone",People & Body,family,1F469 1F3FC 200D 1F91D 200D 1F468 1F3FB,
👫🏼,woman and man holding hands: medium-light skin tone,People & Body,family,1F46B 1F3FC,
👩🏼‍🤝‍👨🏽,"woman and man holding hands: medium-light skin tone, medium skin tone",People & Body,family,1F469 1F3FC 200D 1F91D 200D 1F468 1F3FD,
👩🏼‍🤝‍👨🏾,"woman and man holding hands: medium-light skin tone, medium-dark skin tone",People & Body,family,1F469 1F3FC 200D 1F91D 200D 1F468 1F3FE,
👩🏼‍🤝‍👨🏿,"woman and man holding hands: medium-light skin tone, dark skin tone",People & Body,family,1F469 1F3FC 200D 1F91D 200D 1F468 1F3FF,
👩🏽‍🤝‍👨🏻,"woman and man holding hands: medium skin tone, light skin tone",People & Body,family,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FB,
👩🏽‍🤝‍👨🏼,"woman and man holding hands: medium skin tone, medium-light skin tone",People & Body,family,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FC,
👫🏽,woman and man holding hands: medium skin tone,People & Body,family,1F46B 1F3FD,
👩🏽‍🤝‍👨🏾,"woman and man holding hands: medium skin tone, medium-dark skin tone",People & Body,family,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FE,
👩🏽‍🤝‍👨🏿,"woman and man holding hands: medium skin tone, dark skin tone",People & Body,family,1F469 1F3FD 200D 1F91D 200D 1F468 1F3FF,
👩🏾‍🤝‍👨🏻,"woman and man holding hands: medium-dark skin tone, light skin tone",People & Body,family,1F469 1F3FE 200D 1F91D 200D 1F468 1F3FB,
👩🏾‍🤝‍👨🏼,"woman and man holding hands: medium-dark skin tone, medium-light skin tone",People & Body,family,1F469 1F3FE 200D 1F91D 200D 1F468 1F3FC,
👩🏾‍🤝‍👨🏽,"woman and man holding hands: medium-dark skin tone, medium skin tone",People & Body,family,1F469 1F3FE 200D 1F91D 200D 1F468 1F3FD,
👫🏾,woman and man holding hands: medium-dark skin tone,People & Body,family,1F46B 1F3FE,
👩🏾‍🤝‍👨🏿,"woman and man holding hands: medium-dark skin tone, dark skin tone",People & Body,family,1F469 1F3FE 200D 1F91D 200D 1F468 1F3FF,
👩🏿‍🤝‍👨🏻,"woman and man holding hands: dark skin tone, light skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F468 1F3FB,
👩🏿‍🤝‍👨🏼,"woman and man holding hands: dark skin tone, medium-light skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F468 1F3FC,
👩🏿‍🤝‍👨🏽,"woman and man holding hands: dark skin tone, medium skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F468 1F3FD,
👩🏿‍🤝‍👨🏾,"woman and man holding hands: dark skin tone, medium-dark skin tone",People & Body,family,1F469 1F3FF 200D 1F91D 200D 1F468 1F3FE,
👫🏿,woman and man holding hands: dark skin tone,People & Body,family,1F46B 1F3FF,
👬,men holding hands,People & Body,family,1F46C,
👬🏻,men holding hands: light skin tone,People & Body,family,1F46C 1F3FB,
👨🏼‍🤝‍👨🏻,"men holding hands: medium-light skin tone, light skin tone",People & Body,family,1F468 1F3FC 200D 1F91D 200D 1F468 1F3FB,
👬🏼,men holding hands: medium-light skin tone,People & Body,family,1F46C 1F3FC,
👨🏽‍🤝‍👨🏻,"men holding hands: medium skin tone, light skin tone",People & Body,family,1F468 1F3FD 200D 1F91D 200D 1F468 1F3FB,
👨🏽‍🤝‍👨🏼,"men holding hands: medium skin tone, medium-light skin tone",People & Body,family,1F468 1F3FD 200D 1F91D 200D 1F468 1F3FC,
👬🏽,men holding hands: medium skin tone,People & Body,family,1F46C 1F3FD,
👨🏾‍🤝‍👨🏻,"men holding hands: medium-dark skin tone, light skin tone",People & Body,family,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FB,
👨🏾‍🤝‍👨🏼,"men holding hands: medium-dark skin tone, medium-light skin tone",People & Body,family,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FC,
👨🏾‍🤝‍👨🏽,"men holding hands: medium-dark skin tone, medium skin tone",People & Body,family,1F468 1F3FE 200D 1F91D 200D 1F468 1F3FD,
👬🏾,men holding hands: medium-dark skin tone,People & Body,family,1F46C 1F3FE,
👨🏿‍🤝‍👨🏻,"men holding hands: dark skin tone, light skin tone",People & Body,family,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FB,
👨🏿‍🤝‍👨🏼,"men holding hands: dark skin tone, medium-light skin tone",People & Body,family,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FC,
👨🏿‍🤝‍👨🏽,"men holding hands: dark skin tone, medium skin tone",People & Body,family,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FD,
👨🏿‍🤝‍👨🏾,"men holding hands: dark skin tone, medium-dark skin tone",People & Body,family,1F468 1F3FF 200D 1F91D 200D 1F468 1F3FE,
👬🏿,men holding hands: dark skin tone,People & Body,family,1F46C 1F3FF,
💏,kiss,People & Body,family,1F48F,
👩‍❤️‍💋‍👨,"kiss: woman, man",People & Body,family,1F469 200D 2764 FE0F 200D 1F48B 200D 1F468,
👩‍❤‍💋‍👨,"kiss: woman, man",People & Body,family,1F469 200D 2764 200D 1F48B 200D 1F468,
👨‍❤️‍💋‍👨,"kiss: man, man",People & Body,family,1F468 200D 2764 FE0F 200D 1F48B 200D 1F468,
👨‍❤‍💋‍👨,"kiss: man, man",People & Body,family,1F468 200D 2764 200D 1F48B 200D 1F468,
👩‍❤️‍💋‍👩,"kiss: woman, woman",People & Body,family,1F469 200D 2764 FE0F 200D 1F48B 200D 1F469,
👩‍❤‍💋‍👩,"kiss: woman, woman",People & Body,family,1F469 200D 2764 200D 1F48B 200D 1F469,
💑,couple with heart,People & Body,family,1F491,
👩‍❤️‍👨,"couple with heart: woman, man",People & Body,family,1F469 200D 2764 FE0F 200D 1F468,
👩‍❤‍👨,"couple with heart: woman, man",People & Body,family,1F469 200D 2764 200D 1F468,
👨‍❤️‍👨,"couple with heart: man, man",People & Body,family,1F468 200D 2764 FE0F 200D 1F468,
👨‍❤‍👨,"couple with heart: man, man",People & Body,family,1F468 200D 2764 200D 1F468,
👩‍❤️‍👩,"couple with heart: woman, woman",People & Body,family,1F469 200D 2764 FE0F 200D 1F469,
👩‍❤‍👩,"couple with heart: woman, woman",People & Body,family,1F469 200D 2764 200D 1F469,
👪,family,People & Body,family,1F46A,
👨‍👩‍👦,"family: man, woman, boy",People & Body,family,1F468 200D 1F469 200D 1F466,
👨‍👩‍👧,"family: man, woman, girl",People & Body,family,1F468 200D 1F469 200D 1F467,
👨‍👩‍👧‍👦,"family: man, woman, girl, boy",People & Body,family,1F468 200D 1F469 200D 1F467 200D 1F466,
👨‍👩‍👦‍👦,"family: man, woman, boy, boy",People & Body,family,1F468 200D 1F469 200D 1F466 200D 1F466,
👨‍👩‍👧‍👧,"family: man, woman, girl, girl",People & Body,family,1F468 200D 1F469 200D 1F467 200D 1F467,
👨‍👨‍👦,"family: man, man, boy",People & Body,family,1F468 200D 1F468 200D 1F466,
👨‍👨‍👧,"family: man, man, girl",People & Body,family,1F468 200D 1F468 200D 1F467,
👨‍👨‍👧‍👦,"family: man, man, girl, boy",People & Body,family,1F468 200D 1F468 200D 1F467 200D 1F466,
👨‍👨‍👦‍👦,"family: man, man, boy, boy",People & Body,family,1F468 200D 1F468 200D 1F466 200D 1F466,
👨‍👨‍👧‍👧,"family: man, man, girl, girl",People & Body,family,1F468 200D 1F468 200D 1F467 200D 1F467,
👩‍👩‍👦,"family: woman, woman, boy",People & Body,family,1F469 200D 1F469 200D 1F466,
👩‍👩‍👧,"family: woman, woman, girl",People & Body,family,1F469 200D 1F469 200D 1F467,
👩‍👩‍👧‍👦,"family: woman, woman, girl, boy",People & Body,family,1F469 200D 1F469 200D 1F467 200D 1F466,
👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",People & Body,family,1F469 200D 1F469 200D 1F466 200D 1F466,
👩‍👩‍👧‍👧,"family: woman, woman, girl, girl",People & Body,family,1F469 200D 1F469 200D 1F467 200D 1F467,
👨‍👦,"family: man, boy",People & Body,family,1F468 200D 1F466,
👨‍👦‍👦,"family: man, boy, boy",People & Body,family,1F468 200D 1F466 200D 1F466,
👨‍👧,"family: man, girl",People & Body,family,1F468 200D 1F467,
👨‍👧‍👦,"family: man, girl, boy",People & Body,family,1F468 200D 1F467 200D 1F466,
👨‍👧‍👧,"family: man, girl, girl",People & Body,family,1F468 200D 1F467 200D 1F467,
👩‍👦,"family: woman, boy",People & Body,family,1F469 200D 1F466,
👩‍👦‍👦,"family: woman, boy, boy",People & Body,family,1F469 200D 1F466 200D 1F466,
👩‍👧,"family: woman, girl",People & Body,family,1F469 200D 1F467,
👩‍👧‍👦,"family: woman, girl, boy",People & Body,family,1F469 200D 1F467 200D 1F466,
👩‍👧‍👧,"family: woman, girl, girl",People & Body,family,1F469 200D 1F467 200D 1F467,
🗣️,speaking head,People & Body,person-symbol,1F5E3 FE0F,
🗣,speaking head,People & Body,person-symbol,1F5E3,
👤,bust in silhouette,People & Body,person-symbol,1F464,
👥,busts in silhouette,People & Body,person-symbol,1F465,
👣,footprints,People & Body,person-symbol,1F463,
🐵,monkey face,Animals & Nature,animal-mammal,1F435,
🐒,monkey,Animals & Nature,animal-mammal,1F412,
🦍,gorilla,Animals & Nature,animal-mammal,1F98D,
🦧,orangutan,Animals & Nature,animal-mammal,1F9A7,
🐶,dog face,Animals & Nature,animal-mammal,1F436,
🐕,dog,Animals & Nature,animal-mammal,1F415,
🦮,guide dog,Animals & Nature,animal-mammal,1F9AE,
🐕‍🦺,service dog,Animals & Nature,animal-mammal,1F415 200D 1F9BA,
🐩,poodle,Animals & Nature,animal-mammal,1F429,
🐺,wolf,Animals & Nature,animal-mammal,1F43A,
🦊,fox,Animals & Nature,animal-mammal,1F98A,
🦝,raccoon,Animals & Nature,animal-mammal,1F99D,
🐱,cat face,Animals & Nature,animal-mammal,1F431,
🐈,cat,Animals & Nature,animal-mammal,1F408,
🦁,lion,Animals & Nature,animal-mammal,1F981,
🐯,tiger face,Animals & Nature,animal-mammal,1F42F,
🐅,tiger,Animals & Nature,animal-mammal,1F405,
🐆,leopard,Animals & Nature,animal-mammal,1F406,
🐴,horse face,Animals & Nature,animal-mammal,1F434,
🐎,horse,Animals & Nature,animal-mammal,1F40E,
🦄,unicorn,Animals & Nature,animal-mammal,1F984,
🦓,zebra,Animals & Nature,animal-mammal,1F993,
🦌,deer,Animals & Nature,animal-mammal,1F98C,
🐮,cow face,Animals & Nature,animal-mammal,1F42E,
🐂,ox,Animals & Nature,animal-mammal,1F402,
🐃,water buffalo,Animals & Nature,animal-mammal,1F403,
🐄,cow,Animals & Nature,animal-mammal,1F404,
🐷,pig face,Animals & Nature,animal-mammal,1F437,
🐖,pig,Animals & Nature,animal-mammal,1F416,
🐗,boar,Animals & Nature,animal-mammal,1F417,
🐽,pig nose,Animals & Nature,animal-mammal,1F43D,
🐏,ram,Animals & Nature,animal-mammal,1F40F,
🐑,ewe,Animals & Nature,animal-mammal,1F411,
🐐,goat,Animals & Nature,animal-mammal,1F410,
🐪,camel,Animals & Nature,animal-mammal,1F42A,
🐫,two-hump camel,Animals & Nature,animal-mammal,1F42B,
🦙,llama,Animals & Nature,animal-mammal,1F999,
🦒,giraffe,Animals & Nature,animal-mammal,1F992,
🐘,elephant,Animals & Nature,animal-mammal,1F418,
🦏,rhinoceros,Animals & Nature,animal-mammal,1F98F,
🦛,hippopotamus,Animals & Nature,animal-mammal,1F99B,
🐭,mouse face,Animals & Nature,animal-mammal,1F42D,
🐁,mouse,Animals & Nature,animal-mammal,1F401,
🐀,rat,Animals & Nature,animal-mammal,1F400,
🐹,hamster,Animals & Nature,animal-mammal,1F439,
🐰,rabbit face,Animals & Nature,animal-mammal,1F430,
🐇,rabbit,Animals & Nature,animal-mammal,1F407,
🐿️,chipmunk,Animals & Nature,animal-mammal,1F43F FE0F,
🐿,chipmunk,Animals & Nature,animal-mammal,1F43F,
🦔,hedgehog,Animals & Nature,animal-mammal,1F994,
🦇,bat,Animals & Nature,animal-mammal,1F987,
🐻,bear,Animals & Nature,animal-mammal,1F43B,
🐨,koala,Animals & Nature,animal-mammal,1F428,
🐼,panda,Animals & Nature,animal-mammal,1F43C,
🦥,sloth,Animals & Nature,animal-mammal,1F9A5,
🦦,otter,Animals & Nature,animal-mammal,1F9A6,
🦨,skunk,Animals & Nature,animal-mammal,1F9A8,
🦘,kangaroo,Animals & Nature,animal-mammal,1F998,
🦡,badger,Animals & Nature,animal-mammal,1F9A1,
🐾,paw prints,Animals & Nature,animal-mammal,1F43E,
🦃,turkey,Animals & Nature,animal-bird,1F983,
🐔,chicken,Animals & Nature,animal-bird,1F414,
🐓,rooster,Animals & Nature,animal-bird,1F413,
🐣,hatching chick,Animals & Nature,animal-bird,1F423,
🐤,baby chick,Animals & Nature,animal-bird,1F424,
🐥,front-facing baby chick,Animals & Nature,animal-bird,1F425,
🐦,bird,Animals & Nature,animal-bird,1F426,
🐧,penguin,Animals & Nature,animal-bird,1F427,
🕊️,dove,Animals & Nature,animal-bird,1F54A FE0F,
🕊,dove,Animals & Nature,animal-bird,1F54A,
🦅,eagle,Animals & Nature,animal-bird,1F985,
🦆,duck,Animals & Nature,animal-bird,1F986,
🦢,swan,Animals & Nature,animal-bird,1F9A2,
🦉,owl,Animals & Nature,animal-bird,1F989,
🦩,flamingo,Animals & Nature,animal-bird,1F9A9,
🦚,peacock,Animals & Nature,animal-bird,1F99A,
🦜,parrot,Animals & Nature,animal-bird,1F99C,
🐸,frog,Animals & Nature,animal-amphibian,1F438,
🐊,crocodile,Animals & Nature,animal-reptile,1F40A,
🐢,turtle,Animals & Nature,animal-reptile,1F422,
🦎,lizard,Animals & Nature,animal-reptile,1F98E,
🐍,snake,Animals & Nature,animal-reptile,1F40D,
🐲,dragon face,Animals & Nature,animal-reptile,1F432,
🐉,dragon,Animals & Nature,animal-reptile,1F409,
🦕,sauropod,Animals & Nature,animal-reptile,1F995,
🦖,T-Rex,Animals & Nature,animal-reptile,1F996,
🐳,spouting whale,Animals & Nature,animal-marine,1F433,
🐋,whale,Animals & Nature,animal-marine,1F40B,
🐬,dolphin,Animals & Nature,animal-marine,1F42C,
🐟,fish,Animals & Nature,animal-marine,1F41F,
🐠,tropical fish,Animals & Nature,animal-marine,1F420,
🐡,blowfish,Animals & Nature,animal-marine,1F421,
🦈,shark,Animals & Nature,animal-marine,1F988,
🐙,octopus,Animals & Nature,animal-marine,1F419,
🐚,spiral shell,Animals & Nature,animal-marine,1F41A,
🐌,snail,Animals & Nature,animal-bug,1F40C,
🦋,butterfly,Animals & Nature,animal-bug,1F98B,
🐛,bug,Animals & Nature,animal-bug,1F41B,
🐜,ant,Animals & Nature,animal-bug,1F41C,
🐝,honeybee,Animals & Nature,animal-bug,1F41D,
🐞,lady beetle,Animals & Nature,animal-bug,1F41E,
🦗,cricket,Animals & Nature,animal-bug,1F997,
🕷️,spider,Animals & Nature,animal-bug,1F577 FE0F,
🕷,spider,Animals & Nature,animal-bug,1F577,
🕸️,spider web,Animals & Nature,animal-bug,1F578 FE0F,
🕸,spider web,Animals & Nature,animal-bug,1F578,
🦂,scorpion,Animals & Nature,animal-bug,1F982,
🦟,mosquito,Animals & Nature,animal-bug,1F99F,
🦠,microbe,Animals & Nature,animal-bug,1F9A0,
💐,bouquet,Animals & Nature,plant-flower,1F490,
🌸,cherry blossom,Animals & Nature,plant-flower,1F338,
💮,white flower,Animals & Nature,plant-flower,1F4AE,
🏵️,rosette,Animals & Nature,plant-flower,1F3F5 FE0F,
🏵,rosette,Animals & Nature,plant-flower,1F3F5,
🌹,rose,Animals & Nature,plant-flower,1F339,
🥀,wilted flower,Animals & Nature,plant-flower,1F940,
🌺,hibiscus,Animals & Nature,plant-flower,1F33A,
🌻,sunflower,Animals & Nature,plant-flower,1F33B,
🌼,blossom,Animals & Nature,plant-flower,1F33C,
🌷,tulip,Animals & Nature,plant-flower,1F337,
🌱,seedling,Animals & Nature,plant-other,1F331,
🌲,evergreen tree,Animals & Nature,plant-other,1F332,
🌳,deciduous tree,Animals & Nature,plant-other,1F333,
🌴,palm tree,Animals & Nature,plant-other,1F334,
🌵,cactus,Animals & Nature,plant-other,1F335,
🌾,sheaf of rice,Animals & Nature,plant-other,1F33E,
🌿,herb,Animals & Nature,plant-other,1F33F,
☘️,shamrock,Animals & Nature,plant-other,2618 FE0F,
☘,shamrock,Animals & Nature,plant-other,2618,
🍀,four leaf clover,Animals & Nature,plant-other,1F340,
🍁,maple leaf,Animals & Nature,plant-other,1F341,
🍂,fallen leaf,Animals & Nature,plant-other,1F342,
🍃,leaf fluttering in wind,Animals & Nature,plant-other,1F343,
🍇,grapes,Food & Drink,food-fruit,1F347,
🍈,melon,Food & Drink,food-fruit,1F348,
🍉,watermelon,Food & Drink,food-fruit,1F349,
🍊,tangerine,Food & Drink,food-fruit,1F34A,
🍋,lemon,Food & Drink,food-fruit,1F34B,
🍌,banana,Food & Drink,food-fruit,1F34C,
🍍,pineapple,Food & Drink,food-fruit,1F34D,
🥭,mango,Food & Drink,food-fruit,1F96D,
🍎,red apple,Food & Drink,food-fruit,1F34E,
🍏,green apple,Food & Drink,food-fruit,1F34F,
🍐,pear,Food & Drink,food-fruit,1F350,
🍑,peach,Food & Drink,food-fruit,1F351,
🍒,cherries,Food & Drink,food-fruit,1F352,
🍓,strawberry,Food & Drink,food-fruit,1F353,
🥝,kiwi fruit,Food & Drink,food-fruit,1F95D,
🍅,tomato,Food & Drink,food-fruit,1F345,
🥥,coconut,Food & Drink,food-fruit,1F965,
🥑,avocado,Food & Drink,food-vegetable,1F951,
🍆,eggplant,Food & Drink,food-vegetable,1F346,
🥔,potato,Food & Drink,food-vegetable,1F954,
🥕,carrot,Food & Drink,food-vegetable,1F955,
🌽,ear of corn,Food & Drink,food-vegetable,1F33D,
🌶️,hot pepper,Food & Drink,food-vegetable,1F336 FE0F,
🌶,hot pepper,Food & Drink,food-vegetable,1F336,
🥒,cucumber,Food & Drink,food-vegetable,1F952,
🥬,leafy green,Food & Drink,food-vegetable,1F96C,
🥦,broccoli,Food & Drink,food-vegetable,1F966,
🧄,garlic,Food & Drink,food-vegetable,1F9C4,
🧅,onion,Food & Drink,food-vegetable,1F9C5,
🍄,mushroom,Food & Drink,food-vegetable,1F344,
🥜,peanuts,Food & Drink,food-vegetable,1F95C,
🌰,chestnut,Food & Drink,food-vegetable,1F330,
🍞,bread,Food & Drink,food-prepared,1F35E,
🥐,croissant,Food & Drink,food-prepared,1F950,
🥖,baguette bread,Food & Drink,food-prepared,1F956,
🥨,pretzel,Food & Drink,food-prepared,1F968,
🥯,bagel,Food & Drink,food-prepared,1F96F,
🥞,pancakes,Food & Drink,food-prepared,1F95E,
🧇,waffle,Food & Drink,food-prepared,1F9C7,
🧀,cheese wedge,Food & Drink,food-prepared,1F9C0,
🍖,meat on bone,Food & Drink,food-prepared,1F356,
🍗,poultry leg,Food & Drink,food-prepared,1F357,
🥩,cut of meat,Food & Drink,food-prepared,1F969,
🥓,bacon,Food & Drink,food-prepared,1F953,
🍔,hamburger,Food & Drink,food-prepared,1F354,
🍟,french fries,Food & Drink,food-prepared,1F35F,
🍕,pizza,Food & Drink,food-prepared,1F355,
🌭,hot dog,Food & Drink,food-prepared,1F32D,
🥪,sandwich,Food & Drink,food-prepared,1F96A,
🌮,taco,Food & Drink,food-prepared,1F32E,
🌯,burrito,Food & Drink,food-prepared,1F32F,
🥙,stuffed flatbread,Food & Drink,food-prepared,1F959,
🧆,falafel,Food & Drink,food-prepared,1F9C6,
🥚,egg,Food & Drink,food-prepared,1F95A,
🍳,cooking,Food & Drink,food-prepared,1F373,
🥘,shallow pan of food,Food & Drink,food-prepared,1F958,
🍲,pot of food,Food & Drink,food-prepared,1F372,
🥣,bowl with spoon,Food & Drink,food-prepared,1F963,
🥗,green salad,Food & Drink,food-prepared,1F957,
🍿,popcorn,Food & Drink,food-prepared,1F37F,
🧈,butter,Food & Drink,food-prepared,1F9C8,
🧂,salt,Food & Drink,food-prepared,1F9C2,
🥫,canned food,Food & Drink,food-prepared,1F96B,
🍱,bento box,Food & Drink,food-asian,1F371,
🍘,rice cracker,Food & Drink,food-asian,1F358,
🍙,rice ball,Food & Drink,food-asian,1F359,
🍚,cooked rice,Food & Drink,food-asian,1F35A,
🍛,curry rice,Food & Drink,food-asian,1F35B,
🍜,steaming bowl,Food & Drink,food-asian,1F35C,
🍝,spaghetti,Food & Drink,food-asian,1F35D,
🍠,roasted sweet potato,Food & Drink,food-asian,1F360,
🍢,oden,Food & Drink,food-asian,1F362,
🍣,sushi,Food & Drink,food-asian,1F363,
🍤,fried shrimp,Food & Drink,food-asian,1F364,
🍥,fish cake with swirl,Food & Drink,food-asian,1F365,
🥮,moon cake,Food & Drink,food-asian,1F96E,
🍡,dango,Food & Drink,food-asian,1F361,
🥟,dumpling,Food & Drink,food-asian,1F95F,
🥠,fortune cookie,Food & Drink,food-asian,1F960,
🥡,takeout box,Food & Drink,food-asian,1F961,
🦀,crab,Food & Drink,food-marine,1F980,
🦞,lobster,Food & Drink,food-marine,1F99E,
🦐,shrimp,Food & Drink,food-marine,1F990,
🦑,squid,Food & Drink,food-marine,1F991,
🦪,oyster,Food & Drink,food-marine,1F9AA,
🍦,soft ice cream,Food & Drink,food-sweet,1F366,
🍧,shaved ice,Food & Drink,food-sweet,1F367,
🍨,ice cream,Food & Drink,food-sweet,1F368,
🍩,doughnut,Food & Drink,food-sweet,1F369,
🍪,cookie,Food & Drink,food-sweet,1F36A,
🎂,birthday cake,Food & Drink,food-sweet,1F382,
🍰,shortcake,Food & Drink,food-sweet,1F370,
🧁,cupcake,Food & Drink,food-sweet,1F9C1,
🥧,pie,Food & Drink,food-sweet,1F967,
🍫,chocolate bar,Food & Drink,food-sweet,1F36B,
🍬,candy,Food & Drink,food-sweet,1F36C,
🍭,lollipop,Food & Drink,food-sweet,1F36D,
🍮,custard,Food & Drink,food-sweet,1F36E,
🍯,honey pot,Food & Drink,food-sweet,1F36F,
🍼,baby bottle,Food & Drink,drink,1F37C,
🥛,glass of milk,Food & Drink,drink,1F95B,
☕,hot beverage,Food & Drink,drink,2615,
🍵,teacup without handle,Food & Drink,drink,1F375,
🍶,sake,Food & Drink,drink,1F376,
🍾,bottle with popping cork,Food & Drink,drink,1F37E,
🍷,wine glass,Food & Drink,drink,1F377,
🍸,cocktail glass,Food & Drink,drink,1F378,
🍹,tropical drink,Food & Drink,drink,1F379,
🍺,beer mug,Food & Drink,drink,1F37A,
🍻,clinking beer mugs,Food & Drink,drink,1F37B,
🥂,clinking glasses,Food & Drink,drink,1F942,
🥃,tumbler glass,Food & Drink,drink,1F943,
🥤,cup with straw,Food & Drink,drink,1F964,
🧃,beverage box,Food & Drink,drink,1F9C3,
🧉,mate,Food & Drink,drink,1F9C9,
🧊,ice cube,Food & Drink,drink,1F9CA,
🥢,chopsticks,Food & Drink,dishware,1F962,
🍽️,fork and knife with plate,Food & Drink,dishware,1F37D FE0F,
🍽,fork and knife with plate,Food & Drink,dishware,1F37D,
🍴,fork and knife,Food & Drink,dishware,1F374,
🥄,spoon,Food & Drink,dishware,1F944,
🔪,kitchen knife,Food & Drink,dishware,1F52A,
🏺,amphora,Food & Drink,dishware,1F3FA,
🌍,globe showing Europe-Africa,Travel & Places,place-map,1F30D,
🌎,globe showing Americas,Travel & Places,place-map,1F30E,
🌏,globe showing Asia-Australia,Travel & Places,place-map,1F30F,
🌐,globe with meridians,Travel & Places,place-map,1F310,
🗺️,world map,Travel & Places,place-map,1F5FA FE0F,
🗺,world map,Travel & Places,place-map,1F5FA,
🗾,map of Japan,Travel & Places,place-map,1F5FE,
🧭,compass,Travel & Places,place-map,1F9ED,
🏔️,snow-capped mountain,Travel & Places,place-geographic,1F3D4 FE0F,
🏔,snow-capped mountain,Travel & Places,place-geographic,1F3D4,
⛰️,mountain,Travel & Places,place-geographic,26F0 FE0F,
⛰,mountain,Travel & Places,place-geographic,26F0,
🌋,volcano,Travel & Places,place-geographic,1F30B,
🗻,mount fuji,Travel & Places,place-geographic,1F5FB,
🏕️,camping,Travel & Places,place-geographic,1F3D5 FE0F,
🏕,camping,Travel & Places,place-geographic,1F3D5,
🏖️,beach with umbrella,Travel & Places,place-geographic,1F3D6 FE0F,
🏖,beach with umbrella,Travel & Places,place-geographic,1F3D6,
🏜️,desert,Travel & Places,place-geographic,1F3DC FE0F,
🏜,desert,Travel & Places,place-geographic,1F3DC,
🏝️,desert island,Travel & Places,place-geographic,1F3DD FE0F,
🏝,desert island,Travel & Places,place-geographic,1F3DD,
🏞️,national park,Travel & Places,place-geographic,1F3DE FE0F,
🏞,national park,Travel & Places,place-geographic,1F3DE,
🏟️,stadium,Travel & Places,place-building,1F3DF FE0F,
🏟,stadium,Travel & Places,place-building,1F3DF,
🏛️,classical building,Travel & Places,place-building,1F3DB FE0F,
🏛,classical building,Travel & Places,place-building,1F3DB,
🏗️,building construction,Travel & Places,place-building,1F3D7 FE0F,
🏗,building construction,Travel & Places,place-building,1F3D7,
🧱,brick,Travel & Places,place-building,1F9F1,
🏘️,houses,Travel & Places,place-building,1F3D8 FE0F,
🏘,houses,Travel & Places,place-building,1F3D8,
🏚️,derelict house,Travel & Places,place-building,1F3DA FE0F,
🏚,derelict house,Travel & Places,place-building,1F3DA,
🏠,house,Travel & Places,place-building,1F3E0,
🏡,house with garden,Travel & Places,place-building,1F3E1,
🏢,office building,Travel & Places,place-building,1F3E2,
🏣,Japanese post office,Travel & Places,place-building,1F3E3,
🏤,post office,Travel & Places,place-building,1F3E4,
🏥,hospital,Travel & Places,place-building,1F3E5,
🏦,bank,Travel & Places,place-building,1F3E6,
